source_id,url,local_path,retrieved_at,bytes,sha256,structure
food-access-2020,https://www.maff.go.jp/primaff/seika/fsc/faccess/attach/excel/2020_table05.xlsx,data/external/candidate-probes/food-access-2020.xlsx,2026-08-18T06:45:41.426934+00:00,336977,5e77a7d7f102b5099f8eb11427268706c7b2f916c0b74cc28a2a26e469836fd6,表５ 市町村別:1754x23; ご利用にあたって:7x1
local-government-dx-2024,https://www.digital.go.jp/assets/contents/node/basic_page/field_ref_resources/51a5a201-e0dd-493f-9c21-0692402d93e6/85162d87/20240712_resources_govdashboard_local_governmentdx_table_01.zip,data/external/candidate-probes/local-government-dx-2024.zip,2026-08-18T06:45:41.426934+00:00,435125,67c0ed00e6b68aa37ad0fa5f1896590b3f2a049c273310862d9d38efc661a0d1,市区町村毎のDX進捗状況_市区町村比較.csv; 市区町村毎のDX進捗状況_市区町村比較.xlsx; 市区町村毎のDX進捗状況_行政手続のオンライン申請率.csv; 市区町村毎のDX進捗状況_行政手続のオンライン申請率.xlsx; 都道府県のDX進捗状況_行政手続のオンライン申請率.csv; 都道府県のDX進捗状況_行政手続のオンライン申請率.xlsx; 都道府県のDX進捗状況_都道府県比較.csv; 都道府県のDX進捗状況_都道府県比較.xlsx
heatstroke-2025,https://www.fdma.go.jp/disaster/heatstroke/items/heatstroke003_data_r7.xlsx,data/external/candidate-probes/heatstroke-2025.xlsx,2026-08-18T06:45:41.426934+00:00,606835,d7e0c764f0b1f83fbfdb62afcdd105701811bb9b5f96f0ba8ab673edddf49316,2025_05:1458x22; 2025_06:1411x22; 2025_07:1458x22; 2025_08:1458x22; 2025_09:1411x22
